Id,Date Posted,Product Title,Price,Area,Price per m²,calc price,Bedrooms,Toilets,Location,Coordinates
42291123,28/02/2025,"Bán căn góc 110m2 - 3PN - 2WC hướng Nam, view thoáng Mipec Rubik 360, giá 9.3 tỷ",9.3,110.0,84.54,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.03725107274147, 105.78694890772937"
42103319,28/02/2025,"(Siêu hiếm)bán căn hộ siêu vip tại Indochina Plaza 117m2/3pn sẵn sổ đỏ-view đẹp,full đồ 0946 827 ***",11.0,117.0,94.02,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.0363008782824, 105.78165729675123"
42261154,28/02/2025,"Bán căn hộ tòa Sunrise Building 90 Trần Thái Tông, DT 157,3m2, 3PN, 3WC, Giá 12,15 tỷ",12.15,157.3,77.24,0.0,3,3,"Dịch Vọng Hậu, Cầu Giấy","21.0313601347334, 105.788407595034"
42291128,28/02/2025,Siêu hời bán căn hộ siêu vip tại Indochina Plaza 145m2/3PN sẵn sổ view đẹp LH 0946 827 ***,13.9,145.0,95.86,0.0,3,2,"Dịch Vọng Hậu, Cầu Giấy","21.035787420911717, 105.78156117945944"
41514468,28/02/2025,Bán căn hộ chung cư CTM 299 Cầu Giấy 78m2 TK 2 ngủ 2 vệ sinh nhà đẹp đủ đồ giá 4. X tỷ,-1.0,78.0,0.0,1.0,2,1,"Dịch Vọng, Cầu Giấy","21.0350760772126, 105.794616868666"
42291010,28/02/2025,"Chính chủ cần bán gấp căn CCMN 2PN mới, DT 50m2, full nội thất đường Xuân Thủy-Cầu Giấy. Giá 1,5 tỷ",1.5,50.0,30.0,0.0,2,1,"Dịch Vọng, Cầu Giấy","21.0363962141986, 105.788852310162"
42183849,28/02/2025,"Không có nhu cầu ở bán căn hộ N03 Trần Quý Kiên, lô góc, giá chỉ 3,45 tỷ. Lh: 0983 997 ***",3.45,52.03,66.31,0.0,2,1,"Dịch Vọng, Cầu Giấy","21.037521040588, 105.791834478865"
42195448,28/02/2025,"Bán căn hộ chung cư 71m2, TK 2PN, 2WC, tòa Vinaconex 60 Khúc Thừa Dụ ngay sát CV Cầu Giấy",4.85,71.0,68.31,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.033916348458384, 105.79076613210536"
42291786,28/02/2025,"Cần bán căn hộ 2PN - 89m2 - giá 5,3 tỷ - N07 Thành Thái - Cầu Giấy",5.3,89.0,59.55,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.0297845530896, 105.794151537108"
41651293,28/02/2025,"Cần bán căn hộ 85.6m2 2PN 2WC ở N07 Thành Thái, công viên Cầu Giấy giá 5.45 tỷ",5.45,85.6,63.67,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.0292377471924, 105.793853759766"
42295541,28/02/2025,"Bán CH chung cư N07 Dịch Vọng, Thành Thái, Cầu Giấy DT 89m2, 2PN, 2VS giá 5,6 tỷ",5.6,89.0,62.92,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.029104242497596, 105.79457705084366"
42298278,28/02/2025,"Bán căn 2PN 91m2 view Hồ Tây CC Discovery Complex 302 Cầu Giấy, tặng slot xe 50 năm. LH 0968 748 ***",5.85,91.0,64.29,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.034784938700042, 105.79505377078738"
42292118,28/02/2025,Chính chủ bán căn hộ chung cư NO7 đường Thành Thái cạnh công viên Cầu Giấy 86m2 2 phòng ngủ,5.9,86.0,68.6,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.029139512641454, 105.79399621699639"
42300433,28/02/2025,"BÁN CĂN HỘ CHUNG CƯ TRẦN ĐĂNG NINH - TRUNG TÂM CẦU GIẤY- 86m- 3 ngủ - 2wc - FULL ĐỒ - 5,95 TỶ",5.95,86.0,69.19,0.0,3,2,"Dịch Vọng, Cầu Giấy","21.038503406111, 105.792047410801"
39742651,28/02/2025,"Chính chủ bán CH 115m2, giá 6.05 tỷ. ĐC: Discovery Complex, Quận Cầu Giấy, Hà Nội. Nội thất đầy đủ",6.05,115.0,52.61,0.0,2,2,"Dịch Vọng, Cầu Giấy","21.0350513458252, 105.794975280762"
